"","param_vary","i_param_var","replicate","gamma","stairs2","beta","SR"
"394",1,4,26,1.82983866624823,0.752380952380952,9.99967852144474,8
"395",1,5,26,1.30968646892942,0.644945948776594,0.380986328125,45
"396",2,1,26,-0.427545607027782,0.611111111111111,-1.99999640168177,4
"397",2,2,26,-0.336390600142552,0.611111111111111,-1.99999640168177,4
"398",2,3,26,1.6300717923532,0.75,2.27125,3
"399",2,4,26,1.19725824575151,0.75,9.99967852144474,9
"400",2,5,26,1.27000172528972,0.761111111111111,9.99967852144474,7
"401",3,1,26,1.32927221746648,0.651631765943668,0.00986198425292969,2233
"402",3,2,26,0.472587508067197,0.632575937616547,-0.16301999092102,384
"403",3,3,26,0.445208917631486,0.617768254761931,-0.4875927734375,100
"404",3,4,26,-0.60929327521022,0.680555555555556,9.99967852144474,7
"405",3,5,26,NA,NA,NA,NA
"406",1,1,27,NA,NA,NA,NA
"407",1,2,27,NA,NA,NA,NA
"408",1,3,27,NA,NA,NA,NA
"409",1,4,27,0.931756644982012,0.643494625941434,0.23376953125,48
"410",1,5,27,4.37819433304057,0.646729464557356,-0.24762939453125,272
"411",2,1,27,NA,1,NA,2
"412",2,2,27,1.23532599521906,0.75,2.27125,3
"413",2,3,27,1.29599370114981,0.602380952380952,-1.232509765625,9
"414",2,4,27,NA,1,NA,2
"415",2,5,27,0.0710734859973967,0.733333333333333,9.99967852144474,11
"416",3,1,27,-0.503859410825368,0.633208677615714,-0.0313170964511108,1144
"417",3,2,27,0.720921934865376,0.631442063044536,-0.122035064697266,651
"418",3,3,27,1.18584940716151,0.64499563759851,0.015888671875,140
"419",3,4,27,2.13026463183667,0.791666666666667,9.99967852144474,5
"420",3,5,27,NA,NA,NA,NA
"421",1,1,28,NA,NA,NA,NA
"422",1,2,28,NA,NA,NA,NA
"423",1,3,28,-0.887469779953238,0.75,2.27125,3
"424",1,4,28,2.00023261283367,0.671428571428571,-0.37865234375,8
"425",1,5,28,4.73058072513188,0.60885208327791,-0.2962109375,324
"426",2,1,28,NA,1,NA,2
"427",2,2,28,NA,1,NA,2
"428",2,3,28,1.33502132864917,0.611111111111111,-1.99999640168177,4
"429",2,4,28,1.36546852186539,0.699211135477583,0.37509765625,25
"430",2,5,28,1.19740850837665,0.629732082732083,-0.17402099609375,46
"431",3,1,28,1.23469590777386,0.644205575719784,-0.0959730911254883,822
"432",3,2,28,1.34297620739568,0.638970578195342,-0.178236227035522,709
"433",3,3,28,2.3079334593561,0.641778606463717,-0.129309899476084,646
"434",3,4,28,0.307222800425,1,9.99967852144474,4
"435",3,5,28,NA,NA,NA,NA
"436",1,1,29,NA,NA,NA,NA
"437",1,2,29,NA,NA,NA,NA
"438",1,3,29,NA,1,NA,2
"439",1,4,29,1.15073955081374,0.745,9.99967852144474,11
"440",1,5,29,3.47748561567909,0.666813637979966,0.616625213623047,307
"441",2,1,29,NA,1,NA,2
"442",2,2,29,NA,1,NA,2
"443",2,3,29,1.40529021504128,0.649390353236507,-1.1530126953125,14
"444",2,4,29,0.551695054622689,0.611111111111111,-1.99999640168177,4
"445",2,5,29,1.51397699895039,0.710555555555555,0.42220703125,11
"446",3,1,29,-1.33454770566383,0.647223248735096,-0.0252975273132324,1460
"447",3,2,29,-0.661193950411987,0.638098932227744,0.0097454636303711,2090
"448",3,3,29,2.62933510698506,0.652688354797741,0.00263916015625,273
"449",3,4,29,0.13252740674768,0.775793650793651,0.810859375,11
